name,rate,duration,tags,decibel,trackbegin,trackend,miss
Hinkik - Blade,3,231.247528,"[""YT"",""SAD""]",100,,,false
Hinkik - Cepheid,3,166.440635,"[""YT""]",100,,,false
Hinkik - Ena,3,199.018231,"[""YT""]",100,,,false
Hinkik - Enchant,4,225.11746,"[""YT""]",100,73.5,105,false
Hinkik - Explorers,5,264.986122,"[""YT""]",100,35,53,false
Hinkik - Gaia,3,286.116281,"[""YT""]",100,,,false
Hinkik - Guardian,5,256.859138,"[""YT"",""ROCK""]",100,,,false
Hinkik - Invaders,3,215.829478,"[""YT""]",100,,,false
Hinkik - Momentum,5,220.31093,"[""OSU""]",100,40.5,58,false
Hinkik - Outbreaker,3,215.829478,"[""YT""]",100,,,false
Hinkik - Skystrike,3,210.744308,"[""YT""]",100,,,false
Hinkik - Time Leaper,4,240.047891,"[""YT""]",100,44,66.5,false
Hinkik & A Himitsu - Realms,4,216.293878,"[""YT""]",100,,,false
I Do - 911,1,201.691429,"[""LYRIC"",""EN""]",200,,,false
Illumination - Kevin Auvinen Epic Uplifting,2,234.396735,"[""YT""]",100,,,false
Jump Wars,2,264.059625,"[""YT""]",100,,,false
Junk - Qualia,3,,"[""NEW""]",100,,,false
JustaTee - She Neva Knows,4,289.274195,"[""LYRIC"",""VN""]",120,,,false
Kaixo - Troglodyte (Original Mix),4,268.705563,"[""GEO"",""BASS""]",100,,,false
Kirara Magic - Aquatic,3,175.473197,"[""NEW""]",100,,,false
Kirara Magic - Checkmate,4,187.152834,"[""YT""]",100,,,false
Kirara Magic - Dragonflame,3,198.716372,"[""NEW""]",100,,,false
Kirara Magic - Find Me (feat. Shion),4,159.939048,"[""LYRIC"",""JP"",""SAD""]",100,,,false
Kirara Magic - Kagetsu,3,219.126712,"[""YT""]",100,,,false
Kirara Magic - Melt,3,194.072381,"[""NEW""]",100,,,false
Kirara Magic - Vampire,2,190.984127,"[""YT""]",100,,,false
Kirara Magic - Wraith,4,200.527528,"[""YT""]",100,,,false
Kirara Magic & PIKASONIC - Flora,3,206.796916,"[""YT""]",100,,,false
Kirara Magic & Yirokos - Artemis,3,252.107755,"[""YT""]",100,,,false
Kirara Magic & Yirokos - Chrono,5,244.157823,"[""YT""]",140,64.9,91,false
Kitsune2 - Rainbow Tylenol,3,118.230204,"[""OSU""]",100,,,false
Kiynaria - Spirit of the Lilies,3,293.333333,"[""YT"",""SAD""]",100,,,false
Klaas - Mister Ruiz Godzilla CLAWZ DJ Spyroof Bootleg,3,216.038458,"[""YT""]",100,,,false
Kobo Kanaeru - Help,2,187.872653,"[""YT""]",100,,,false
Koxx - A Fool Moon Night,3,233.592744,"[""OSU"",""LYRIC""]",100,,,false
LAMIA Punishing Gray Raven OST,3,330.954014,"[""NEW""]",100,,,false
Lanota - Ice Floe,4,145.403356,"[""YT""]",100,,,false
Lchavasse - Lunar Abyss,2,231.386848,"[""YT""]",100,,,false
Let Me Hear - Fear and Loathing in Las Vegas,3,89.698685,"[""OSU"",""LYRIC"",""ANIME""]",100,,,false
Limitless Despair,2,238.213515,"[""YT""]",100,,,false
LK & JustaTee & Emily - Imma Heartbreaker,3,308.166531,"[""LYRIC"",""VN"",""SAD""]",100,,,false
LMYK0 zero - The Case Study of Vanitas,3,218.267574,"[""ANIME"",""LYRIC"",""EN""]",100,,,false
Lockyn - Sequence,3,258.995374,"[""YT""]",100,,,false
Lockyn - Skybound,3,426.901333,"[""YT""]",100,,,false
Lost Sky - Dreams,3,215.06322,"[""OSU""]",100,,,false
Luis Fonsi - Despacito ft Daddy Yankee,2,281.56517,"[""LYRIC""]",100,,,false
M2U - Adonis,2,267.656417,"[""YT""]",100,,,false
M2U - Grafiore,2,182.114104,"[""YT""]",100,,,false
M2U - GypsyTronic,3,224.072562,"[""NEW""]",100,,,false
M2U - Magnolia,3,242.044807,"[""OSU"",""LYRIC""]",110,,,false
M2U - Mare Maris,4,132.307302,"[""OSU""]",110,,,false
M2U - Marigold,4,152.740862,"[""OSU"",""LYRIC""]",100,,,false
M2U - Myosotis,3,148.58449,"[""OSU"",""LYRIC""]",100,,,false
M2U - Nightmare,4,125.271655,"[""OSU""]",100,,,false
M2U - Quo Vadis,3,146.308934,"[""OSU""]",100,,,false
M2U - Seeker [Trance],2,139.273288,"[""YT""]",100,,,false
M2U - Velocity,3,136.974512,"[""NEW""]",100,,,false
M2U - Wicked Fate,3,108.390748,"[""OSU""]",100,,,false
M2U & ESTi - Obelisque,4,148.58449,"[""OSU""]",100,,,false
M2U & Gentle Stick - Ineffabilis,3,152.717642,"[""NEW""]",100,,,false
M2U & Nicode - Loadstar,2,154.598458,"[""YT"",""SAD""]",100,,,false
M2U & Nicode - Lune,3,118.955828,"[""NEW""]",100,,,false
M2U & Nicode - Stellar,4,120.418685,"[""OSU""]",100,,,false
M2U x Nicode - Myosotis,3,212.950204,"[""OSU""]",120,,,true
MadhouseDude - Check Out,2,265.218322,"[""YT""]",100,,,false
MadhouseDude - Flock,3,250.055692,"[""NEW""]",100,,,false
MadhouseDude - Jet Set,4,279.127075,"[""GEO""]",120,50.2,81.3,false
MadhouseDude - Loose (Dance),5,281.68127,"[""YT"",""ROCK""]",100,85.8,104.33,false
MadhouseDude - Massacre,4,215.829478,"[""YT""]",100,,,false
MadhouseDude - Now Were Talking,2,249.893152,"[""YT""]",100,,,false
MadhouseDude - Omega,3,204.89288,"[""YT""]",100,,,false
maimaiExcalibur Revived resolutionProject Grimoire,3,134.629297,"[""NEW""]",100,,,false
Marshmello - Alone,3,199.50585,"[""OSU""]",100,,,false
MDK - Cryptofunk,1,310.729433,"[""YT""]",100,,,false
MDK - Press Start,4,210.07093,"[""GEO"",""FAV""]",100,,,false
MDK - Press Start (Flash fyre),4,254.862222,"[""GEO"",""FAV""]",100,,,false
MDK ft Nick Sadler - Firebird,3,258.739955,"[""YT""]",100,,,false
Meganeko - Milkshake,3,235.218141,"[""YT""]",100,,,false
Mili - Vulnerability,3,128.684989,"[""OSU""]",100,,,false
